Date,cases_age_group_0_to_9,female_0_to_9_cases_perc,male_0_to_9_cases_perc,cases_age_group_10_to_19,female_10_to_19_cases_perc,male_10_to_19_cases_perc,cases_age_group_20_to_29,female_20_to_29_cases_perc,male_20_to_29_cases_perc,cases_age_group_30_to_39,female_30_to_39_cases_perc,male_30_to_39_cases_perc,cases_age_group_40_to_49,female_40_to_49_cases_perc,male_40_to_49_cases_perc,cases_age_group_50_to_59,female_50_to_59_cases_perc,male_50_to_59_cases_perc,cases_age_group_60_to_69,female_60_to_69_cases_perc,male_60_to_69_cases_perc,cases_age_group_70_to_79,female_70_to_79_cases_perc,male_70_to_79_cases_perc,cases_age_group_80_to_89,female_80_to_89_cases_perc,male_80_to_89_cases_perc,cases_age_group_90_plus,female_90_plus_cases_perc,male_90_plus_cases_perc
2020-11-18,4686,45%,55%,10068,45%,55%,36434,43%,57%,47543,36%,64%,47195,35%,65%,51093,37%,63%,36404,40%,60%,19096,42%,58%,6340,42%,58%,755,47%,53%
2020-11-19,4701,45%,55%,10113,45%,55%,36584,43%,57%,47710,36%,64%,47354,35%,65%,51274,37%,63%,36530,40%,60%,19184,42%,58%,6366,42%,58%,756,47%,53%
2020-11-20,4720,45%,55%,10155,45%,55%,36731,43%,57%,47871,36%,64%,47537,35%,65%,51454,37%,63%,36644,40%,60%,19252,42%,58%,6384,42%,58%,762,47%,53%
2020-11-21,4740,45%,55%,10193,45%,55%,36855,43%,57%,48065,36%,64%,47722,35%,65%,51643,37%,63%,36810,40%,60%,19315,42%,58%,6406,42%,58%,765,47%,53%
2020-11-22,4756,45%,55%,10246,45%,55%,37004,43%,57%,48262,36%,64%,47902,35%,65%,51855,37%,63%,36943,40%,60%,19382,42%,58%,6429,42%,58%,771,47%,53%
2020-11-23,4763,45%,55%,10274,45%,55%,37105,43%,57%,48402,36%,64%,48043,35%,65%,51991,37%,63%,37029,40%,60%,19426,42%,58%,6451,42%,58%,774,47%,53%
2020-11-24,4772,45%,55%,10319,45%,55%,37215,43%,57%,48551,36%,64%,48208,35%,65%,52152,37%,63%,37147,40%,60%,19487,42%,58%,6473,42%,58%,777,47%,53%
2020-11-25,4789,45%,55%,10354,45%,55%,37337,43%,57%,48728,36%,64%,48384,35%,65%,52363,37%,63%,37287,40%,60%,19582,42%,58%,6504,42%,58%,780,47%,53%
2020-11-26,4805,45%,55%,10396,45%,55%,37471,43%,57%,48922,36%,64%,48560,35%,65%,52567,37%,63%,37424,40%,60%,19667,42%,58%,6527,42%,58%,784,47%,53%
2020-11-27,4823,45%,55%,10431,45%,55%,37618,43%,57%,49111,36%,64%,48725,35%,65%,52750,37%,63%,37547,40%,60%,19729,42%,58%,6552,42%,58%,786,47%,53%
2020-11-28,4832,45%,55%,10472,45%,55%,37762,43%,57%,49273,36%,64%,48889,35%,65%,52931,37%,63%,37675,40%,60%,19799,42%,58%,6579,42%,58%,788,47%,53%
2020-11-29,4842,45%,55%,10508,45%,55%,37888,43%,57%,49420,36%,64%,49034,35%,65%,53078,38%,62%,37782,40%,60%,19865,42%,58%,6600,42%,58%,791,47%,53%
2020-11-30,4849,45%,55%,10532,45%,55%,37973,43%,57%,49513,36%,64%,49149,35%,65%,53174,38%,62%,37849,40%,60%,19905,42%,58%,6613,42%,58%,794,47%,53%
2020-12-01,4856,45%,55%,10560,45%,55%,38053,43%,57%,49627,36%,64%,49256,35%,65%,53305,38%,62%,37936,40%,60%,19951,42%,58%,6624,42%,58%,797,47%,53%
2020-12-02,4867,45%,55%,10597,45%,55%,38153,43%,57%,49787,36%,64%,49399,35%,65%,53453,38%,62%,38073,40%,60%,20027,42%,58%,6638,42%,58%,800,47%,53%
2020-12-03,4877,45%,55%,10634,45%,55%,38276,43%,57%,49918,36%,64%,49547,35%,65%,53586,38%,62%,38189,40%,60%,20088,42%,58%,6658,42%,58%,802,47%,53%
2020-12-04,4888,45%,55%,10669,45%,55%,38366,43%,57%,50038,36%,64%,49683,35%,65%,53712,38%,62%,38282,40%,60%,20138,42%,58%,6678,42%,58%,805,47%,53%
2020-12-05,4894,45%,55%,10691,45%,55%,38462,43%,57%,50166,36%,64%,49794,35%,65%,53848,38%,62%,38378,40%,60%,20175,42%,58%,6697,42%,58%,808,47%,53%
2020-12-06,4906,45%,55%,10715,45%,55%,38564,43%,57%,50276,36%,64%,49905,35%,65%,53974,38%,62%,38495,40%,60%,20219,42%,58%,6721,42%,58%,810,47%,53%
2020-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-09,4926,45%,55%,10771,45%,55%,38800,43%,57%,50564,36%,64%,50161,35%,65%,54317,38%,62%,38742,40%,60%,20324,42%,58%,6770,42%,58%,815,47%,53%
2020-12-10,4934,45%,55%,10799,45%,55%,38907,43%,57%,50703,36%,64%,50305,35%,65%,54466,38%,62%,38837,40%,60%,20381,42%,58%,6793,42%,58%,818,47%,53%
2020-12-11,4939,45%,55%,10825,45%,55%,39002,43%,57%,50823,36%,64%,50412,35%,65%,54569,38%,62%,38913,40%,60%,20424,42%,58%,6814,42%,58%,822,47%,53%
2020-12-12,4943,45%,55%,10845,45%,55%,39102,43%,57%,50927,36%,64%,50518,35%,65%,54691,38%,62%,38987,40%,60%,20463,42%,58%,6830,42%,58%,825,47%,53%
2020-12-13,4952,45%,55%,10859,45%,55%,39162,43%,57%,51023,36%,64%,50628,35%,65%,54798,38%,62%,39080,40%,60%,20506,42%,58%,6847,42%,58%,830,47%,53%
2020-12-14,4958,45%,55%,10876,45%,55%,39203,43%,57%,51101,36%,64%,50712,35%,65%,54890,38%,62%,39140,40%,60%,20549,42%,58%,6865,42%,58%,834,47%,53%
2020-12-15,4963,45%,55%,10901,45%,55%,39261,43%,57%,51174,36%,64%,50796,35%,65%,54979,38%,62%,39213,40%,60%,20592,42%,58%,6879,42%,58%,836,47%,53%
2020-12-16,4978,45%,55%,10927,45%,55%,39374,43%,57%,51316,36%,64%,50918,35%,65%,55118,38%,62%,39300,40%,60%,20636,42%,58%,6896,42%,58%,840,47%,53%
2020-12-17,4982,45%,55%,10942,45%,55%,39433,43%,57%,51422,36%,64%,51001,35%,65%,55216,38%,62%,39375,40%,60%,20692,42%,58%,6907,42%,58%,842,47%,53%
2020-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-19,5001,45%,55%,10995,45%,55%,39608,43%,57%,51623,36%,64%,51196,35%,65%,55428,38%,62%,39550,40%,60%,20782,42%,58%,6940,42%,58%,850,47%,53%
2020-12-20,5004,45%,55%,11013,45%,55%,39687,43%,57%,51731,36%,64%,51277,35%,65%,55527,38%,62%,39647,40%,60%,20826,42%,58%,6950,42%,58%,851,47%,53%
2020-12-21,5006,45%,55%,11037,45%,55%,39757,43%,57%,51815,36%,64%,51342,35%,65%,55604,38%,62%,39703,40%,60%,20855,42%,58%,6960,42%,58%,851,47%,53%
2020-12-22,5011,45%,55%,11057,45%,55%,39830,43%,57%,51894,36%,64%,51425,35%,65%,55688,38%,62%,39761,40%,60%,20889,42%,58%,6970,42%,58%,852,47%,53%
2020-12-23,5020,45%,55%,11085,45%,55%,39944,43%,57%,52014,36%,64%,51546,35%,65%,55801,38%,62%,39849,40%,60%,20949,42%,58%,6983,42%,58%,856,47%,53%
2020-12-24,5028,45%,55%,11110,45%,55%,40029,43%,57%,52129,36%,64%,51649,35%,65%,55911,38%,62%,39933,40%,60%,20997,42%,58%,6996,42%,58%,857,47%,53%
2020-12-25,5040,45%,55%,11126,45%,55%,40122,43%,57%,52220,36%,64%,51736,35%,65%,56019,38%,62%,40014,40%,60%,21037,42%,58%,7006,42%,58%,862,47%,53%
2020-12-26,5045,45%,55%,11140,45%,55%,40203,43%,57%,52309,36%,64%,51811,35%,65%,56132,38%,62%,40083,40%,60%,21064,42%,58%,7016,42%,58%,867,47%,53%
2020-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,5056,45%,55%,11171,45%,55%,40348,43%,57%,52490,36%,64%,51981,35%,65%,56356,38%,62%,40244,40%,60%,21152,42%,58%,7046,42%,58%,870,47%,53%
2020-12-29,5066,45%,55%,11189,45%,55%,40423,43%,57%,52592,36%,64%,52077,35%,65%,56439,38%,62%,40305,40%,60%,21193,42%,58%,7054,42%,58%,871,47%,53%
2020-12-30,5078,45%,55%,11216,45%,55%,40524,43%,57%,52719,36%,64%,52172,35%,65%,56567,38%,62%,40402,40%,60%,21242,42%,58%,7068,42%,58%,872,47%,53%
2020-12-31,5086,45%,55%,11247,45%,55%,40599,43%,57%,52820,36%,64%,52291,35%,65%,56678,38%,62%,40474,40%,60%,21296,42%,58%,7081,42%,58%,875,47%,53%
2021-01-01,5089,45%,55%,11272,45%,55%,40679,43%,57%,52931,36%,64%,52397,35%,65%,56795,38%,62%,40562,40%,60%,21337,42%,58%,7107,42%,58%,876,47%,53%
2021-01-02,5095,45%,55%,11298,45%,55%,40768,43%,57%,53022,36%,64%,52487,35%,65%,56903,38%,62%,40637,40%,60%,21382,42%,58%,7122,42%,58%,877,47%,53%
2021-01-03,5104,45%,55%,11313,45%,55%,40837,43%,57%,53114,36%,64%,52558,35%,65%,57010,38%,62%,40733,40%,60%,21431,42%,58%,7133,42%,58%,880,47%,53%
2021-01-04,5107,45%,55%,11333,45%,55%,40902,43%,57%,53205,36%,64%,52639,35%,65%,57094,38%,62%,40794,40%,60%,21467,42%,58%,7150,42%,58%,880,47%,53%
2021-01-05,5111,45%,55%,11358,45%,55%,40967,43%,57%,53279,36%,64%,52739,35%,65%,57180,38%,62%,40868,40%,60%,21504,42%,58%,7165,42%,58%,881,47%,53%
2021-01-06,5118,45%,55%,11390,45%,55%,41064,43%,57%,53400,36%,64%,52861,35%,65%,57297,38%,62%,40962,40%,60%,21554,42%,58%,7174,42%,58%,884,47%,53%
2021-01-07,5123,45%,55%,11414,45%,55%,41160,43%,57%,53514,36%,64%,52958,35%,65%,57412,38%,62%,41054,40%,60%,21602,42%,58%,7196,42%,58%,886,47%,53%
2021-01-08,5131,45%,55%,11440,45%,55%,41257,43%,57%,53619,36%,64%,53065,35%,65%,57535,38%,62%,41134,40%,60%,21647,42%,58%,7210,42%,58%,889,47%,53%
2021-01-09,5134,45%,55%,11464,45%,55%,41330,43%,57%,53728,36%,64%,53148,35%,65%,57645,38%,62%,41209,40%,60%,21681,42%,58%,7230,42%,58%,891,47%,53%
2021-01-10,5139,45%,55%,11491,45%,55%,41405,43%,57%,53832,36%,64%,53252,35%,65%,57772,38%,62%,41296,40%,60%,21734,42%,58%,7248,42%,58%,894,47%,53%
2021-01-11,5145,45%,55%,11511,45%,55%,41459,43%,57%,53904,36%,64%,53315,35%,65%,57850,38%,62%,41351,40%,60%,21767,42%,58%,7260,42%,58%,895,47%,53%
2021-01-12,5152,45%,55%,11523,45%,55%,41518,43%,57%,53992,36%,64%,53379,35%,65%,57930,38%,62%,41410,40%,60%,21803,42%,58%,7276,42%,58%,896,47%,53%
2021-01-13,5163,45%,55%,11547,45%,55%,41617,43%,57%,54095,36%,64%,53486,35%,65%,58047,38%,62%,41506,40%,60%,21851,42%,58%,7293,42%,58%,897,47%,53%
2021-01-14,5172,45%,55%,11572,45%,55%,41682,43%,57%,54189,36%,64%,53557,35%,65%,58165,38%,62%,41611,40%,60%,21894,42%,58%,7312,42%,58%,898,47%,53%
2021-01-15,5177,45%,55%,11587,45%,55%,41777,43%,57%,54276,36%,64%,53651,35%,65%,58270,38%,62%,41686,40%,60%,21931,42%,58%,7325,42%,58%,898,47%,53%
2021-01-16,5192,45%,55%,11614,45%,55%,41842,43%,57%,54371,36%,64%,53747,35%,65%,58352,38%,62%,41779,40%,60%,21981,42%,58%,7335,42%,58%,898,47%,53%
2021-01-17,5199,45%,55%,11628,45%,55%,41905,43%,57%,54461,36%,64%,53819,35%,65%,58438,38%,62%,41857,40%,60%,22021,42%,58%,7347,42%,58%,900,47%,53%
2021-01-18,5204,45%,55%,11639,45%,55%,41955,43%,57%,54530,36%,64%,53879,35%,65%,58505,38%,62%,41917,40%,60%,22056,42%,58%,7361,42%,58%,901,47%,53%
2021-01-19,5209,45%,55%,11657,45%,55%,42027,43%,57%,54595,36%,64%,53950,35%,65%,58590,38%,62%,41985,40%,60%,22097,42%,58%,7371,42%,58%,902,47%,53%
2021-01-20,5212,45%,55%,11671,45%,55%,42087,43%,57%,54675,36%,64%,54033,35%,65%,58667,38%,62%,42044,40%,60%,22140,42%,58%,7383,42%,58%,905,47%,53%
2021-01-21,5216,45%,55%,11688,45%,55%,42150,43%,57%,54768,36%,64%,54105,35%,65%,58772,38%,62%,42107,40%,60%,22182,42%,58%,7392,42%,58%,906,47%,53%
2021-01-22,5223,45%,55%,11713,45%,55%,42218,43%,57%,54838,36%,64%,54185,35%,65%,58861,38%,62%,42166,40%,60%,22223,42%,58%,7404,42%,58%,906,47%,53%
2021-01-23,5227,45%,55%,11731,45%,55%,42266,43%,57%,54904,36%,64%,54264,35%,65%,58936,38%,62%,42227,40%,60%,22248,42%,58%,7413,42%,58%,907,47%,53%
2021-01-24,5235,45%,55%,11750,45%,55%,42321,43%,57%,54968,36%,64%,54356,35%,65%,59032,38%,62%,42286,40%,60%,22281,42%,58%,7423,42%,58%,911,47%,53%
2021-01-25,5240,45%,55%,11761,45%,55%,42368,43%,57%,55019,36%,64%,54402,35%,65%,59082,38%,62%,42342,40%,60%,22311,42%,58%,7431,42%,58%,913,47%,53%
2021-01-26,5241,45%,55%,11774,45%,55%,42409,43%,57%,55066,36%,64%,54453,35%,65%,59140,38%,62%,42382,40%,60%,22342,42%,58%,7441,42%,58%,917,47%,53%
2021-01-27,5244,45%,55%,11785,45%,55%,42463,43%,57%,55139,36%,64%,54531,35%,65%,59210,38%,62%,42443,40%,60%,22369,42%,58%,7458,42%,58%,918,47%,53%
2021-01-28,5248,45%,55%,11799,45%,55%,42507,43%,57%,55192,36%,64%,54601,35%,65%,59276,38%,62%,42503,40%,60%,22396,42%,58%,7464,42%,58%,918,47%,53%
2021-01-29,5250,45%,55%,11813,45%,55%,42569,43%,57%,55274,36%,64%,54679,35%,65%,59379,38%,62%,42565,40%,60%,22436,42%,58%,7479,42%,58%,918,47%,53%
2021-01-30,5256,45%,55%,11835,45%,55%,42624,43%,57%,55335,36%,64%,54763,35%,65%,59434,38%,62%,42621,40%,60%,22464,42%,58%,7486,42%,58%,920,47%,53%
2021-01-31,5257,45%,55%,11856,45%,55%,42671,43%,57%,55425,36%,64%,54843,35%,65%,59513,38%,62%,42678,40%,60%,22501,42%,58%,7496,42%,58%,920,47%,53%
2021-02-01,5261,45%,55%,11870,45%,55%,42718,43%,57%,55484,36%,64%,54884,35%,65%,59578,38%,62%,42725,40%,60%,22516,42%,58%,7507,42%,58%,920,47%,53%
2021-02-02,5263,45%,55%,11886,45%,55%,42754,43%,57%,55536,36%,64%,54930,35%,65%,59657,38%,62%,42771,40%,60%,22537,42%,58%,7516,42%,58%,920,47%,53%
2021-02-03,5268,45%,55%,11902,45%,55%,42807,43%,57%,55603,36%,64%,55007,35%,65%,59717,38%,62%,42815,40%,60%,22588,42%,58%,7526,42%,58%,922,47%,53%
2021-02-04,5274,45%,55%,11924,45%,55%,42857,43%,57%,55680,36%,64%,55083,35%,65%,59805,38%,62%,42882,40%,60%,22617,42%,58%,7530,42%,58%,928,47%,53%
2021-02-05,5278,45%,55%,11940,45%,55%,42900,43%,57%,55758,36%,64%,55154,35%,65%,59869,38%,62%,42936,40%,60%,22650,42%,58%,7537,42%,58%,928,47%,53%
2021-02-06,5284,45%,55%,11955,45%,55%,42945,43%,57%,55833,36%,64%,55230,35%,65%,59932,38%,62%,42990,40%,60%,22671,42%,58%,7548,42%,58%,930,47%,53%
2021-02-07,5288,45%,55%,11971,45%,55%,43001,43%,57%,55906,36%,64%,55315,35%,65%,60019,38%,62%,43042,40%,60%,22704,42%,58%,7556,42%,58%,930,47%,53%
2021-02-08,5290,45%,55%,11989,45%,55%,43041,43%,57%,55965,36%,64%,55391,35%,65%,60094,38%,62%,43101,40%,60%,22735,42%,58%,7570,42%,58%,930,47%,53%
2021-02-09,5295,45%,55%,12003,45%,55%,43087,43%,57%,56027,36%,64%,55453,35%,65%,60169,38%,62%,43135,40%,60%,22765,42%,58%,7573,42%,58%,932,47%,53%
2021-02-10,5303,45%,55%,12022,45%,55%,43148,43%,57%,56112,36%,64%,55556,35%,65%,60271,38%,62%,43218,40%,60%,22793,42%,58%,7579,42%,58%,936,47%,53%
2021-02-11,5309,45%,55%,12041,45%,55%,43217,43%,57%,56204,36%,64%,55637,35%,65%,60353,38%,62%,43295,40%,60%,22826,42%,58%,7588,42%,58%,938,47%,53%
2021-02-12,5315,45%,55%,12072,45%,55%,43276,43%,57%,56316,36%,64%,55739,35%,65%,60449,38%,62%,43378,40%,60%,22863,42%,58%,7600,42%,58%,939,47%,53%
2021-02-13,5323,45%,55%,12087,45%,55%,43338,43%,57%,56407,36%,64%,55836,35%,65%,60550,38%,62%,43445,40%,60%,22891,42%,58%,7612,42%,58%,940,47%,53%
2021-02-14,5328,45%,55%,12125,45%,55%,43412,43%,57%,56508,36%,64%,55940,35%,65%,60666,38%,62%,43522,40%,60%,22931,42%,58%,7632,42%,58%,944,47%,53%
2021-02-15,5333,45%,55%,12133,45%,55%,43481,43%,57%,56616,36%,64%,56000,35%,65%,60754,38%,62%,43581,40%,60%,22968,42%,58%,7649,42%,58%,947,47%,53%
2021-02-16,5339,45%,55%,12142,45%,55%,43539,43%,57%,56698,36%,64%,56063,35%,65%,60833,38%,62%,43646,40%,60%,22999,42%,58%,7665,42%,58%,947,47%,53%
2021-02-17,5346,45%,55%,12161,45%,55%,43640,43%,57%,56820,36%,64%,56174,35%,65%,60970,38%,62%,43744,40%,60%,23051,42%,58%,7676,42%,58%,948,47%,53%
2021-02-18,5360,45%,55%,12187,45%,55%,43748,43%,57%,56941,36%,64%,56300,35%,65%,61098,38%,62%,43844,40%,60%,23101,42%,58%,7695,42%,58%,949,47%,53%
2021-02-19,5372,45%,55%,12221,45%,55%,43854,43%,57%,57086,36%,64%,56443,35%,65%,61242,38%,62%,43956,40%,60%,23158,42%,58%,7719,42%,58%,951,47%,53%
2021-02-20,5381,45%,55%,12256,45%,55%,43959,43%,57%,57248,36%,64%,56604,35%,65%,61378,38%,62%,44050,40%,60%,23222,42%,58%,7737,42%,58%,953,47%,53%
2021-02-21,5397,45%,55%,12312,45%,55%,44109,43%,57%,57406,36%,64%,56749,35%,65%,61565,38%,62%,44177,40%,60%,23285,42%,58%,7752,42%,58%,958,47%,53%
2021-02-22,5409,45%,55%,12349,45%,55%,44210,43%,57%,57536,36%,64%,56888,35%,65%,61703,38%,62%,44259,40%,60%,23341,42%,58%,7767,42%,58%,959,47%,53%
2021-02-23,5418,45%,55%,12378,45%,55%,44311,43%,57%,57627,36%,64%,57000,35%,65%,61822,38%,62%,44336,40%,60%,23381,42%,58%,7786,42%,58%,960,47%,53%
2021-02-24,5434,45%,55%,12426,45%,55%,44483,43%,57%,57826,36%,64%,57228,35%,65%,62020,38%,62%,44463,40%,60%,23445,42%,58%,7812,42%,58%,964,47%,53%
2021-02-25,5449,45%,55%,12466,45%,55%,44661,43%,57%,58035,36%,64%,57416,35%,65%,62211,38%,62%,44607,40%,60%,23523,42%,58%,7833,42%,58%,966,47%,53%
2021-02-26,5461,45%,55%,12511,45%,55%,44816,43%,57%,58211,36%,64%,57562,35%,65%,62394,38%,62%,44757,40%,60%,23592,42%,58%,7854,42%,58%,972,47%,53%
2021-02-27,5482,45%,55%,12552,45%,55%,44952,43%,57%,58382,36%,64%,57721,35%,65%,62581,38%,62%,44877,40%,60%,23648,42%,58%,7874,42%,58%,981,47%,53%
2021-02-28,5502,45%,55%,12592,45%,55%,45099,43%,57%,58574,36%,64%,57891,35%,65%,62756,38%,62%,45008,40%,60%,23706,42%,58%,7899,42%,58%,983,47%,53%
2021-03-01,5513,45%,55%,12632,45%,55%,45214,43%,57%,58707,36%,64%,58016,35%,65%,62927,38%,62%,45115,40%,60%,23763,42%,58%,7915,42%,58%,988,47%,53%
2021-03-02,5523,45%,55%,12657,45%,55%,45348,43%,57%,58850,36%,64%,58127,35%,65%,63081,38%,62%,45244,40%,60%,23821,42%,58%,7937,42%,58%,993,47%,53%
2021-03-03,5539,45%,55%,12697,45%,55%,45505,43%,57%,59037,36%,64%,58319,35%,65%,63291,38%,62%,45369,40%,60%,23891,42%,58%,7962,42%,58%,997,47%,53%
2021-03-04,5551,45%,55%,12736,45%,55%,45665,43%,57%,59234,36%,64%,58515,35%,65%,63482,38%,62%,45502,40%,60%,23967,42%,58%,7974,42%,58%,998,47%,53%
2021-03-05,5559,45%,55%,12799,45%,55%,45825,43%,57%,59454,36%,64%,58727,35%,65%,63688,38%,62%,45633,40%,60%,24034,42%,58%,7997,42%,58%,999,47%,53%
2021-03-06,5576,45%,55%,12864,45%,55%,45992,43%,57%,59655,36%,64%,58954,35%,65%,63868,38%,62%,45790,40%,60%,24110,42%,58%,8019,42%,58%,1002,47%,53%
2021-03-07,5588,45%,55%,12923,45%,55%,46170,43%,57%,59872,36%,64%,59186,35%,65%,64075,38%,62%,45926,40%,60%,24185,42%,58%,8049,42%,58%,1007,47%,53%
2021-03-08,5609,45%,55%,12971,45%,55%,46310,43%,57%,60076,36%,64%,59337,35%,65%,64272,38%,62%,46066,40%,60%,24250,42%,58%,8072,42%,58%,1013,47%,53%
2021-03-09,5620,45%,55%,13014,45%,55%,46427,43%,57%,60248,36%,64%,59535,35%,65%,64461,38%,62%,46185,40%,60%,24310,42%,58%,8092,42%,58%,1016,47%,53%
2021-03-10,5638,45%,55%,13072,45%,55%,46669,43%,57%,60526,36%,64%,59780,35%,65%,64750,38%,62%,46371,40%,60%,24390,42%,58%,8135,42%,58%,1020,47%,53%
2021-03-11,5659,45%,55%,13138,45%,55%,46895,43%,57%,60804,36%,64%,60036,35%,65%,65022,38%,62%,46519,40%,60%,24485,42%,58%,8164,42%,58%,1022,47%,53%
2021-03-12,5683,45%,55%,13205,45%,55%,47140,43%,57%,61142,36%,64%,60340,35%,65%,65287,38%,62%,46722,40%,60%,24569,42%,58%,8196,42%,58%,1032,47%,53%
2021-03-13,5711,45%,55%,13289,45%,55%,47408,43%,57%,61483,36%,64%,60617,35%,65%,65569,38%,62%,46915,40%,60%,24660,42%,58%,8234,42%,58%,1036,47%,53%
2021-03-14,5739,45%,55%,13377,45%,55%,47719,43%,57%,61868,36%,64%,60941,35%,65%,65891,38%,62%,47155,40%,60%,24756,42%,58%,8271,42%,58%,1040,47%,53%
2021-03-15,5771,45%,55%,13443,45%,55%,47991,43%,57%,62159,36%,64%,61268,35%,65%,66129,38%,62%,47345,40%,60%,24874,42%,58%,8313,42%,58%,1047,47%,53%
2021-03-16,5799,45%,55%,13538,45%,55%,48290,43%,57%,62527,36%,64%,61581,35%,65%,66439,38%,62%,47565,40%,60%,24986,42%,58%,8352,42%,58%,1052,47%,53%
2021-03-17,5837,45%,55%,13651,45%,55%,48641,43%,57%,62992,36%,64%,62002,35%,65%,66837,38%,62%,47796,40%,60%,25111,42%,58%,8403,42%,58%,1060,47%,53%
2021-03-18,5879,45%,55%,13764,45%,55%,49118,43%,57%,63553,36%,64%,62495,35%,65%,67316,38%,62%,48105,40%,60%,25244,42%,58%,8469,42%,58%,1067,47%,53%
2021-03-19,5935,45%,55%,13917,45%,55%,49599,43%,57%,64153,36%,64%,63020,35%,65%,67787,38%,62%,48431,40%,60%,25398,42%,58%,8534,42%,58%,1078,47%,53%
2021-03-20,5973,45%,55%,14053,45%,55%,50071,43%,57%,64744,36%,64%,63525,35%,65%,68237,38%,62%,48749,40%,60%,25568,42%,58%,8591,42%,58%,1087,47%,53%
2021-03-21,6023,45%,55%,14235,45%,55%,50660,43%,57%,65513,36%,64%,64167,35%,65%,68850,38%,62%,49128,40%,60%,25778,42%,58%,8642,42%,58%,1099,47%,53%
2021-03-22,6068,45%,55%,14395,45%,55%,51210,43%,57%,66125,36%,64%,64659,35%,65%,69404,38%,62%,49480,40%,60%,25965,42%,58%,8707,42%,58%,1109,47%,53%
2021-03-23,6132,45%,55%,14529,45%,55%,51761,43%,57%,66802,36%,64%,65232,35%,65%,69960,38%,62%,49901,40%,60%,26156,42%,58%,8777,42%,58%,1117,47%,53%
2021-03-24,6196,45%,55%,14744,45%,55%,52623,43%,57%,67878,36%,64%,66125,35%,65%,70785,38%,62%,50478,40%,60%,26426,42%,58%,8882,42%,58%,1137,47%,53%
2021-03-25,6286,45%,55%,15001,45%,55%,53474,43%,57%,68983,36%,64%,67135,35%,65%,71642,38%,62%,51075,40%,60%,26734,42%,58%,8979,42%,58%,1152,47%,53%
2021-03-26,6359,45%,55%,15280,45%,55%,54378,43%,57%,70114,36%,64%,68096,35%,65%,72467,38%,62%,51642,40%,60%,27007,42%,58%,9090,42%,58%,1169,47%,53%
2021-03-27,6437,45%,55%,15585,45%,55%,55448,43%,57%,71373,36%,64%,69166,35%,65%,73401,38%,62%,52252,40%,60%,27345,42%,58%,9203,42%,58%,1189,47%,53%
2021-03-28,6532,45%,55%,15926,45%,55%,56667,43%,57%,72756,36%,64%,70308,35%,65%,74453,38%,62%,52907,40%,60%,27692,42%,58%,9322,42%,58%,1212,47%,53%
2021-03-29,6623,45%,55%,16204,45%,55%,57645,43%,57%,73890,36%,64%,71288,35%,65%,75359,38%,62%,53547,40%,60%,28019,42%,58%,9440,42%,58%,1232,47%,53%
2021-03-30,6706,45%,55%,16431,45%,55%,58395,43%,57%,74817,36%,64%,72161,35%,65%,76153,38%,62%,54063,40%,60%,28316,42%,58%,9550,42%,58%,1249,47%,53%
2021-03-31,6798,45%,55%,16677,45%,55%,59262,43%,57%,75872,36%,64%,73132,35%,65%,77063,38%,62%,54635,40%,60%,28657,42%,58%,9657,42%,58%,1273,47%,53%
2021-04-01,6892,45%,55%,17109,45%,55%,60627,43%,57%,77612,36%,64%,74648,35%,65%,78471,38%,62%,55566,40%,60%,29162,42%,58%,9828,42%,58%,1309,47%,53%
2021-04-02,7020,45%,55%,17549,45%,55%,62094,43%,57%,79376,36%,64%,76156,35%,65%,79911,38%,62%,56480,40%,60%,29658,42%,58%,10024,42%,58%,1338,47%,53%
2021-04-03,7159,45%,55%,17993,45%,55%,63534,43%,57%,81151,36%,64%,77837,35%,65%,81377,38%,62%,57477,40%,60%,30126,42%,58%,10194,42%,58%,1374,47%,53%
2021-04-04,7326,45%,55%,18528,45%,55%,65283,43%,57%,83225,36%,64%,79572,35%,65%,83072,38%,62%,58499,40%,60%,30680,42%,58%,10413,42%,58%,1416,47%,53%
2021-04-05,7504,45%,55%,19038,45%,55%,66776,43%,57%,85056,36%,64%,81202,35%,65%,84530,38%,62%,59609,40%,60%,31234,42%,58%,10651,42%,58%,1452,47%,53%
2021-04-06,7675,45%,55%,19558,45%,55%,68345,43%,57%,86939,36%,64%,82827,35%,65%,86058,38%,62%,60706,40%,60%,31827,42%,58%,10849,42%,58%,1499,47%,53%
2021-04-07,7852,45%,55%,20120,45%,55%,70047,43%,57%,88994,36%,64%,84712,35%,65%,87659,38%,62%,61805,40%,60%,32494,42%,58%,11085,42%,58%,1547,47%,53%
2021-04-08,7984,45%,55%,20587,45%,55%,71492,43%,57%,90790,36%,64%,86168,35%,65%,88915,38%,62%,62716,40%,60%,32984,42%,58%,11265,42%,58%,1588,47%,53%
2021-04-09,8151,45%,55%,21045,45%,55%,73137,43%,57%,92765,36%,64%,87740,35%,65%,90155,38%,62%,63635,40%,60%,33484,42%,58%,11433,42%,58%,1623,47%,53%
